,Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat,log_Fiyat,Ford,Opel,Renault,Skoda,Toyota,Volkswagen,Vites Tipi,Hasar Durumu,Depo_Hacmi_Kullanabilirliği,Ters_Motor_Gücü,Yakıt_Ekonomisi,Engine_Ratio
267,7,110000.0,1598,90,3.8,50.0,820000,13.617059619240436,False,False,False,False,False,True,1.0,1,13.157894736842106,0.011111111111111112,0.042222222222222223,17.755555555555556
268,8,44000.0,1197,105,5.7,55.0,885000,13.693342923990066,False,False,False,False,False,True,1.0,1,9.649122807017543,0.009523809523809525,0.05428571428571429,11.4
269,10,108000.0,1598,105,4.7,55.0,1200000,13.997832114758229,False,False,False,False,False,True,1.5,0,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
270,7,141000.0,1598,120,4.0,66.0,1000000,13.815510557964274,False,False,False,False,False,True,1.0,0,16.5,0.008333333333333333,0.03333333333333333,13.316666666666666
271,7,107000.0,1395,125,5.0,55.0,1070000,13.883169206438088,False,False,False,False,False,True,1.5,1,11.0,0.008,0.04,11.16
272,2,16000.0,999,95,4.6,40.0,945000,13.758940206475879,False,False,False,False,False,True,1.5,1,8.695652173913045,0.010526315789473684,0.04842105263157894,10.51578947368421
273,9,134000.0,1390,122,6.2,55.0,865000,13.670484785914017,False,False,False,False,False,True,1.0,1,8.870967741935484,0.00819672131147541,0.05081967213114755,11.39344262295082
274,6,47000.0,1395,125,5.3,55.0,965000,13.779883380321124,False,False,False,False,False,True,1.0,1,10.377358490566039,0.008,0.0424,11.16
275,9,132000.0,1197,90,4.7,45.0,699000,13.457406021215947,False,False,False,False,False,True,1.5,1,9.574468085106382,0.011111111111111112,0.052222222222222225,13.3
276,7,105000.0,1197,105,4.9,55.0,950000,13.764217263576723,False,False,False,False,False,True,1.5,1,11.224489795918366,0.009523809523809525,0.046666666666666676,11.4
279,9,211000.0,1598,120,4.0,66.0,1075000,13.8878312195439,False,False,False,False,False,True,1.5,1,16.5,0.008333333333333333,0.03333333333333333,13.316666666666666
281,5,15000.0,1395,125,5.3,50.0,1465000,14.197365800433305,False,False,False,False,False,True,1.5,1,9.433962264150944,0.008,0.0424,11.16
