,Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat,log_Fiyat,Ford,Opel,Renault,Skoda,Toyota,Volkswagen,Vites Tipi,Hasar Durumu
3934,9,132000.0,1329,99,5.8,55.0,725000,13.493926933836812,False,False,False,False,True,False,1.0,1
3935,9,209500.0,1364,90,4.2,50.0,695000,13.45166712454693,False,False,False,False,True,False,1.5,0
3936,6,155000.0,1329,99,5.8,55.0,720000,13.487006490992238,False,False,False,False,True,False,1.0,0
3937,11,89000.0,1364,90,4.7,55.0,699000,13.457406021215947,False,False,False,False,True,False,1.0,1
3938,6,99000.0,1364,90,4.1,55.0,900000,13.710150042306449,False,False,False,False,True,False,1.5,1
3939,6,96000.0,1329,99,5.8,55.0,745000,13.521139497361697,False,False,False,False,True,False,1.0,0
3940,12,111000.0,1598,132,6.6,60.0,720000,13.487006490992238,False,False,False,False,True,False,1.0,1
3941,7,85000.0,1364,90,4.1,55.0,805000,13.5985975564007,False,False,False,False,True,False,1.5,0
3942,12,148300.0,1364,90,4.7,55.0,640000,13.369223455335854,False,False,False,False,True,False,1.0,0
3943,6,134000.0,1364,90,4.1,55.0,879000,13.686540176667314,False,False,False,False,True,False,1.5,0
3944,9,81311.0,1364,90,4.2,50.0,869000,13.67509840424753,False,False,False,False,True,False,1.5,1
3945,7,119188.0,1598,132,6.6,60.0,899000,13.709038313453757,False,False,False,False,True,False,1.0,0
3946,7,58745.0,1598,132,6.1,55.0,935000,13.748301808270824,False,False,False,False,True,False,2.0,1
3947,6,117021.0,1364,90,4.1,55.0,950021,13.764239368595563,False,False,False,False,True,False,1.0,0
3948,9,181000.0,1364,90,4.1,55.0,770000,13.554145793829866,False,False,False,False,True,False,1.5,1
3949,1,14000.0,1490,125,5.8,50.0,1210000,14.006130917572923,False,False,False,False,True,False,2.0,1
3950,9,107.0,1364,90,4.1,55.0,770000,13.554145793829866,False,False,False,False,True,False,1.0,0
3951,6,85000.0,1329,99,5.8,55.0,769000,13.55284624848778,False,False,False,False,True,False,1.0,1
3952,3,55700.0,1598,132,5.5,50.0,1195000,13.993656743347747,False,False,False,False,True,False,2.0,1
3953,8,148000.0,1329,99,5.8,50.0,615000,13.329377546788654,False,False,False,False,True,False,1.0,0
3954,7,94000.0,1329,99,5.8,55.0,705000,13.465953081794405,False,False,False,False,True,False,1.0,1
3955,12,260000.0,1364,90,4.8,55.0,602000,13.308012724290958,False,False,False,False,True,False,1.5,0
3956,9,57000.0,1598,132,6.1,55.0,780000,13.567049198665774,False,False,False,False,True,False,2.0,0
3957,2,8300.0,1490,125,5.8,50.0,1040000,13.854731271117556,False,False,False,False,True,False,2.0,1
3958,7,106000.0,1329,99,5.8,55.0,760000,13.541073712262515,False,False,False,False,True,False,1.0,0
3959,10,110000.0,1364,90,4.2,50.0,760000,13.541073712262515,False,False,False,False,True,False,1.5,1
3960,9,97000.0,1364,90,4.1,55.0,790000,13.579788224443204,False,False,False,False,True,False,1.5,0
3961,5,95000.0,1598,132,6.3,55.0,855000,13.658856747918897,False,False,False,False,True,False,1.0,1
3962,8,100000.0,1329,99,5.8,55.0,850000,13.652991628466498,False,False,False,False,True,False,1.0,0
3963,3,32000.0,1598,132,5.5,50.0,1150000,13.955272500339433,False,False,False,False,True,False,1.5,0
3964,3,23500.0,1197,116,5.8,50.0,1108000,13.918067146289367,False,False,False,False,True,False,2.0,0
3965,0,6001.0,1490,125,4.7,42.0,1100000,13.9108207377686,False,False,False,False,True,False,2.0,1
3966,11,183600.0,1364,90,4.8,55.0,645000,13.37700559577791,False,False,False,False,True,False,1.5,1
3967,4,42000.0,1598,132,5.5,50.0,960000,13.77468856344402,False,False,False,False,True,False,2.0,0
3968,7,98700.0,1364,90,4.1,55.0,815000,13.610943392223,False,False,False,False,True,False,1.5,1
3969,8,152000.0,1329,99,5.8,50.0,660000,13.399995114002609,False,False,False,False,True,False,1.0,1
3970,8,160000.0,1364,90,4.7,55.0,770000,13.554145793829866,False,False,False,False,True,False,1.0,1
3971,9,62000.0,1598,132,6.1,55.0,805000,13.5985975564007,False,False,False,False,True,False,2.0,1
3972,13,278000.0,1365,90,4.9,55.0,605000,13.312983737012978,False,False,False,False,True,False,1.5,0
3973,11,130000.0,1364,90,4.8,55.0,740000,13.514405465180353,False,False,False,False,True,False,1.5,1
3974,12,153000.0,1364,90,4.7,55.0,445000,13.005829561148378,False,False,False,False,True,False,1.0,0
3975,10,197000.0,1598,132,6.1,55.0,835000,13.635187003832993,False,False,False,False,True,False,2.0,0
3976,8,160900.0,1329,99,5.8,55.0,635000,13.36138027787483,False,False,False,False,True,False,1.0,0
3977,11,199000.0,1364,90,4.7,55.0,489000,13.10011776845701,False,False,False,False,True,False,1.0,1
3978,6,110000.0,1598,132,6.1,55.0,930000,13.742939865129438,False,False,False,False,True,False,2.0,1
3979,8,92500.0,1598,132,6.3,55.0,820000,13.617059619240436,False,False,False,False,True,False,1.0,1
3980,9,229500.0,1364,90,4.1,55.0,725000,13.493926933836812,False,False,False,False,True,False,1.5,0
3981,2,11850.0,1490,125,5.8,50.0,1045000,13.85952744338105,False,False,False,False,True,False,2.0,1
3982,12,145000.0,1329,99,5.9,55.0,550000,13.217673557208654,False,False,False,False,True,False,1.0,0
3984,12,85000.0,1364,90,4.2,42.0,645000,13.37700559577791,False,False,False,False,True,False,1.5,1
3985,11,206000.0,1364,90,4.7,55.0,555000,13.226723392728571,False,False,False,False,True,False,1.0,0
3986,7,109000.0,1329,99,5.8,55.0,715000,13.480037821676145,False,False,False,False,True,False,1.0,1
3987,1,10650.0,1490,125,5.8,50.0,1100000,13.9108207377686,False,False,False,False,True,False,2.0,1
3988,5,44655.0,1598,132,6.3,55.0,860000,13.664687668229691,False,False,False,False,True,False,1.0,1
3989,12,150000.0,1598,124,7.1,55.0,629000,13.351886535682578,False,False,False,False,True,False,2.0,0
3990,10,165000.0,1598,132,6.1,55.0,680000,13.42984807715229,False,False,False,False,True,False,2.0,0
3991,9,89000.0,998,69,4.3,42.0,600000,13.304684934198283,False,False,False,False,True,False,1.0,0
3992,12,157000.0,1598,132,6.6,55.0,635000,13.36138027787483,False,False,False,False,True,False,1.0,1
3993,12,207000.0,1329,99,5.9,55.0,600000,13.304684934198283,False,False,False,False,True,False,1.0,1
3994,0,14000.0,1490,125,6.3,50.0,1148500,13.95396730111129,False,False,False,False,True,False,2.0,1
3995,7,80000.0,1364,90,4.1,55.0,950000,13.764217263576723,False,False,False,False,True,False,1.5,1
3996,8,99000.0,1329,99,5.8,50.0,705000,13.465953081794405,False,False,False,False,True,False,1.0,0
3997,6,32000.0,1598,132,6.3,55.0,860000,13.664687668229691,False,False,False,False,True,False,1.0,1
3998,3,22300.0,1598,132,5.5,50.0,1050000,13.864300722133706,False,False,False,False,True,False,1.5,1
4000,2,27000.0,1490,125,5.8,50.0,1049000,13.863347887378435,False,False,False,False,True,False,2.0,1
4001,6,111000.0,1329,99,5.8,55.0,770000,13.554145793829866,False,False,False,False,True,False,1.0,0
4002,8,197000.0,1598,132,6.3,55.0,840000,13.641157170819497,False,False,False,False,True,False,1.0,1
4003,13,202000.0,1598,132,6.5,60.0,630000,13.353475098367715,False,False,False,False,True,False,1.0,0
4004,9,184000.0,1598,132,6.5,60.0,820000,13.617059619240436,False,False,False,False,True,False,1.0,1
